title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Worth The Fall,Mara Jacobs (Goodreads Author),'B00ASFU5NO,005,Invalid Length (not 10 or 13 after cleaning)
The Chronicles of Amber: Volume I,Roger Zelazny,,,Invalid Length (not 10 or 13 after cleaning)
A Game of Greed and Deception,John Mathews (Goodreads Author),'B00OHQA4HW,004,Invalid Length (not 10 or 13 after cleaning)
Give Me A Reason,JoLynne Valerie,,,Invalid Length (not 10 or 13 after cleaning)
St Bartholomew's Man,Mary Delorme,'B005DEYOUA,005,Invalid Length (not 10 or 13 after cleaning)
Nowhere,Jon Robinson,'B00AY7Q6XO,0076,Invalid Length (not 10 or 13 after cleaning)
One Missing Link,Alisa Mullen (Goodreads Author),'B00KCRSKKI,00,Invalid Length (not 10 or 13 after cleaning)
Kink,Nikki Sex (Goodreads Author),'B00L8CO9LK,0089,Invalid Length (not 10 or 13 after cleaning)
Risking Trust,Adrienne Giordano (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Quicksilver,Claudy Conn (Goodreads Author),'B00AB3KWEU,003,Invalid Length (not 10 or 13 after cleaning)
Effie and A Terrible Toothache (Elephant),Auntie Ant,'B00VMJTETQ,00,Invalid Length (not 10 or 13 after cleaning)
Asylum,Amy Cross (Goodreads Author),'B009OKRB3Q,0093,Invalid Length (not 10 or 13 after cleaning)
السيدة خديجة أم المؤمنين,أحمد محمد صقر,,,Invalid Length (not 10 or 13 after cleaning)
Elements of Chemistry: Attraction,Penny Reid (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Fisher's Light,Tara Sivec (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Choices,Eve Newton (Goodreads Author),'B00D01TE9O,00019,Invalid Length (not 10 or 13 after cleaning)
The Magic Of Thinking Big: Achieve Whatever You Dream For,Megan Coulter (Goodreads Author),'B00WOKCWK0,000,Invalid Length (not 10 or 13 after cleaning)
Desired,Alisa Woods (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Liebesbrise - Zwischen Ebbe und Flut,"Hilke-Gesa Bußmann, Christian Wußmann (Illustrator)",'B00ZVC23MA,0023,Invalid Length (not 10 or 13 after cleaning)
"Barinas son los ríos, el tabaco y el viento",Orlando Araujo,,,Invalid Length (not 10 or 13 after cleaning)
On Self-Denial,John Calvin,,,Invalid Length (not 10 or 13 after cleaning)
The Star Dwellers,David Estes (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"The Foundation Novels 7-Book Bundle: Foundation, Foundation and Empire, Second Foundation, Foundation's Edge, Foundation and Earth, Prelude to Foundation, Forward the Foundation",Isaac Asimov,'B00JOESE06,0006,Invalid Length (not 10 or 13 after cleaning)
Once Upon a Frog,Sarah Mlynowski (Goodreads Author),'B00YD46BS4,00464,Invalid Length (not 10 or 13 after cleaning)
"Twisted Affair, Vol. 1",M.S. Parker (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
AlterWorld,"D. Rus (Goodreads Author), Дмитрий Рус",,,Invalid Length (not 10 or 13 after cleaning)
Vampire: The Richard Chase Murders,Kevin M. Sullivan,'B008KTCC5Y,0085,Invalid Length (not 10 or 13 after cleaning)
11 Cheap Diabetic Recipes under 10$ (Bonus! 5 Cheap Diabetic Desserts),Michael Zhang (Goodreads Author),'B014U9G7SA,01497,Invalid Length (not 10 or 13 after cleaning)
Unlawful Desire,Chelle Bliss (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
تأملات في دنيا الله,مصطفى محمود,,,Invalid Length (not 10 or 13 after cleaning)
Illusion,S.M. Boyce (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Deranged,Debbie Lacy (Goodreads Author),'B00ENFKNS2,002,Invalid Length (not 10 or 13 after cleaning)
Hard as It Gets,Laura Kaye (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Createspace and Kindle Self-Publishing Masterclass - Second Edition: The Step-by-Step Author's Guide to Writing, Publishing and Marketing Your Books on Amazon",Rick Smith (Goodreads Author),'B00GK5NKGU,005,Invalid Length (not 10 or 13 after cleaning)
Against All Odds,Angie McKeon (Goodreads Author),'B00JFF5TH0,0050,Invalid Length (not 10 or 13 after cleaning)
Punto de inflexión,Martín Mehsen,'B0188F48D8,0188488,Invalid Length (not 10 or 13 after cleaning)
Emerging from Darkness,Kira Adams (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Crystals: Your Beginners Guide To Crystals And Healing Stones (Power of Crystals, Healing Stones,Relieve Stress, Energy Healing)",Michele Gilbert (Goodreads Author),'B019L3OYO4,01934,Invalid Length (not 10 or 13 after cleaning)
No Way Out,"Jane McNulty, Olivia Hauvuy",'B011ZDA5WI,0115,Invalid Length (not 10 or 13 after cleaning)
The Moth in the Mirror,A.G. Howard (Goodreads Author),'B00FJ7NTP2,0072,Invalid Length (not 10 or 13 after cleaning)
Men of Steel Box Set,M.J. Fields (Goodreads Author),'B00O15R1BG,00151,Invalid Length (not 10 or 13 after cleaning)
Devilish,Michaela Adams,'B0158TXGLM,0158,Invalid Length (not 10 or 13 after cleaning)
Hard Limit,Meredith Wild (Goodreads Author),'B00VJMO8E2,0082,Invalid Length (not 10 or 13 after cleaning)
And Laugh at Digital Butterflies,Holly Blackstone (Goodreads Author),'B00D5MHRG0,0050,Invalid Length (not 10 or 13 after cleaning)
No Longer Safe,A.J. Waines (Goodreads Author),'B018UAAAW4,0184,Invalid Length (not 10 or 13 after cleaning)
Hot Girl,Prince Landi,'B01APW162S,01162,Invalid Length (not 10 or 13 after cleaning)
June’s Stolen Rose (Seasons of Love and War Book 4),Brenda Ashworth Barry,'B0129IM88W,012988,Invalid Length (not 10 or 13 after cleaning)
Quest in the Caribbean: A True Caribbean Sailing Adventure,David Beaupre (Goodreads Author),'B01E2L4R7O,01247,Invalid Length (not 10 or 13 after cleaning)
Wray,M.K. Eidem (Goodreads Author),'B00MR2MKE8,0028,Invalid Length (not 10 or 13 after cleaning)
Mistaken Kiss,Kathleen Baldwin (Goodreads Author),'B00IR3XIDS,003,Invalid Length (not 10 or 13 after cleaning)
Broken,Nicola Haken (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Capitán Riley,Fernando Gamboa (Goodreads Author),'B00L4YW7L6,00476,Invalid Length (not 10 or 13 after cleaning)
"Boxing Films, Mobsters, Dames!: Volume One; How Kirk Douglas and Robert Ryan Fought Their Way To Stardom","William Hare, Alvaro Armada Gonzalez (Illustrator)",'B00YO3EZ8M,0038,Invalid Length (not 10 or 13 after cleaning)
Cinderella,Henry W. Hewet,'B000JML0HG,0000,Invalid Length (not 10 or 13 after cleaning)
The Gold,Krista Wagner (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
#Bae,Cambria Hebert (Goodreads Author),'B01LZFU196,01196,Invalid Length (not 10 or 13 after cleaning)
Protecting His Own,Cherise Sinclair (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Billionaire Romance: Music in His soul,Amerine Graham (Goodreads Author),'B01HVNH0RE,010,Invalid Length (not 10 or 13 after cleaning)
The Faerie Guardian,Rachel Morgan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Swan & the Jackal,J.A. Redmerski (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Short Stories,Louis Becke,'B00G4TYPUW,004,Invalid Length (not 10 or 13 after cleaning)
Fluent Forever: How to Learn Any Language Fast and Never Forget It,Gabriel Wyner,,,Invalid Length (not 10 or 13 after cleaning)
Last Kiss,"Jessica Clare (Goodreads Author), Jen Frederick (Goodreads Author)",'B00O9A4BKW,0094,Invalid Length (not 10 or 13 after cleaning)
Blood Faerie,India Drummond (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Light from the Dark,Mercy Celeste (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Eternity Fades,Katelyn Anderson (Goodreads Author),'B071FFJ99M,07199,Invalid Length (not 10 or 13 after cleaning)
Personal Injuries,Vincent L. Scarsella (Goodreads Author),'B01HOCTEU8,018,Invalid Length (not 10 or 13 after cleaning)
Sick Bastard,Jaci J. (Goodreads Author),'B00XVI8ILQ,008,Invalid Length (not 10 or 13 after cleaning)
Masochist,Ryan Schow,'B01M5FJU1J,0151,Invalid Length (not 10 or 13 after cleaning)
Happy Place,"L.P. Maxa (Goodreads Author), T. Fertitta (Editor)",'B00UUHRXT4,004,Invalid Length (not 10 or 13 after cleaning)
Blaze,Suzanne Wright (Goodreads Author),'B01DT7MW4W,0174,Invalid Length (not 10 or 13 after cleaning)
DotCom Secrets: The Underground Playbook for Growing Your Company Online,"Russell Brunson, Dan S. Kennedy (Foreword)",'B00U3817WE,003817,Invalid Length (not 10 or 13 after cleaning)
La profesional - PRIMERA ENTREGA: INCITACIÓN (Trilogía La Profesional nº 1),Kris Buendia,'B0147K1JPS,01471,Invalid Length (not 10 or 13 after cleaning)
Face Of Our Father,G. Egore Pitir,'B00NB59MY6,00596,Invalid Length (not 10 or 13 after cleaning)
Threadbare: A Short Story,Bethany A. Jennings (Goodreads Author),'B06XSCS48D,0648,Invalid Length (not 10 or 13 after cleaning)
Surrender the Wind,Elizabeth St. Michel (Goodreads Author),'B01H7HM9V6,01796,Invalid Length (not 10 or 13 after cleaning)
Episodios Nacionales: Primera Serie,Benito Pérez Galdós,'B00IWZ7V6Q,0076,Invalid Length (not 10 or 13 after cleaning)
Dying is a Wild Night,Edward Fallon,'B00VYYPH8G,008,Invalid Length (not 10 or 13 after cleaning)
A Sibling in Always,Ernest Gordon Taulbee (Goodreads Author),'B01J1LG8T0,01180,Invalid Length (not 10 or 13 after cleaning)
Pick the Plot,James Riley (Goodreads Author),'B06ZXWGQZ5,065,Invalid Length (not 10 or 13 after cleaning)
"Strong Woman: Ambition, Grit and a Great Pair of Heels",Karren Brady,'B006I1CF6C,00616,Invalid Length (not 10 or 13 after cleaning)
"No god but God: The Origins, Evolution and Future of Islam",Reza Aslan,'B004SOQ0U8,00408,Invalid Length (not 10 or 13 after cleaning)
Sweet Disaster,Sierra Hill (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Life Within Parole, Volume 1",RoAnna Sylver (Goodreads Author),'B01MG4L0G1,01401,Invalid Length (not 10 or 13 after cleaning)
The Messiah Conspiracy: Book Two,Ian C.P. Irvine (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Embracing The Falls,Heather Renee (Goodreads Author),'B0775Z6TTQ,07756,Invalid Length (not 10 or 13 after cleaning)
"Can You Handle This Penis?: Black Man's Sex, Is Your Orgasms Worth The Pain?",America Speaks,'B077F79GV4,077794,Invalid Length (not 10 or 13 after cleaning)
Food Festival and a Funeral,Harper Lin (Goodreads Author),'B01NCI0ENL,010,Invalid Length (not 10 or 13 after cleaning)
Rain of Terror,Donna Cummins (Goodreads Author),'B00NSTDIFE,00,Invalid Length (not 10 or 13 after cleaning)
Before We Ever Spoke,Dan Largent (Goodreads Author),'B07DPWW3S9,0739,Invalid Length (not 10 or 13 after cleaning)
Virtuous Scoundrel,Maggie Fenton (Goodreads Author) (Pseudonym),'B00W7XBOUS,007,Invalid Length (not 10 or 13 after cleaning)
Donde vuelan las mariposas,Andrea Adrich,'B018IUZWNI,018,Invalid Length (not 10 or 13 after cleaning)
Driven,Robert J. Crane,'B07BCF5SDJ,075,Invalid Length (not 10 or 13 after cleaning)
To Fire Called,Nathan Lowell (Goodreads Author),'B071RQQRB3,0713,Invalid Length (not 10 or 13 after cleaning)
Blood and Sand,C.V. Wyk (Goodreads Author),'B071L5X3LN,07153,Invalid Length (not 10 or 13 after cleaning)
Residual Effects of Slavery,LaTonya Page-Balkcom,'B01CYZUG3Y,013,Invalid Length (not 10 or 13 after cleaning)
Gefallene Mädchen,"Lexy V. Golden, D.C. Odesza (Goodreads Author)",'B01CA8KQGM,018,Invalid Length (not 10 or 13 after cleaning)
Et tu trouveras le trésor qui dort en toi,Laurent Gounelle,'B01LW3V4HA,0134,Invalid Length (not 10 or 13 after cleaning)
Horseman,Kyle Robert Shultz (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Sour Candy,Kealan Patrick Burke,'B017QCGW24,01724,Invalid Length (not 10 or 13 after cleaning)
Living Easy With Ayurveda,J.V. Hebbar,'B00YO0JBOS,000,Invalid Length (not 10 or 13 after cleaning)
The Dust Feast,Gregory Ashe (Goodreads Author),'B06XZ7MT8X,0678,Invalid Length (not 10 or 13 after cleaning)
Fighting For You,Gianna Gabriela (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Absolution: Wie man eine Sünde überlebt,Jasmin Romana Welsch,'B00UDFCF1E,001,Invalid Length (not 10 or 13 after cleaning)
Beating Ruby,Camilla Monk (Goodreads Author),'B01FRLGNUM,01,Invalid Length (not 10 or 13 after cleaning)
Glory O'Brien's History of the Future,A.S. King (Goodreads Author),'B00I828860,00828860,Invalid Length (not 10 or 13 after cleaning)
"Online Safety: Scams, SPAM, Viruses and Clouds",A.M. Perry (Goodreads Author),'B078HCZ262,078262,Invalid Length (not 10 or 13 after cleaning)
This Foreign Affair,Harper Bliss (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Die Herzlichkeit der Vernunft,"Ferdinand von Schirach, Alexander Kluge",'B075BY2GQY,0752,Invalid Length (not 10 or 13 after cleaning)
Shifter's Shadow,Ella Summers (Goodreads Author),'B073PGF7QL,0737,Invalid Length (not 10 or 13 after cleaning)
Foundryside,Robert Jackson Bennett (Goodreads Author),'B077RG422Z,077422,Invalid Length (not 10 or 13 after cleaning)
My Lovely Wife,Samantha Downing (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
La spia e il guaritore,Cristina Azzali (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Pretty Broken Dolls,"Ker Dukey (Goodreads Author), K. Webster (Goodreads Author)",'B075XM8WC4,07584,Invalid Length (not 10 or 13 after cleaning)
The Human Familiar,Honor Raconteur (Goodreads Author),'B07624J23S,0762423,Invalid Length (not 10 or 13 after cleaning)
Pure Ecstasy,Aja James (Goodreads Author),'B07KLCR8LX,078,Invalid Length (not 10 or 13 after cleaning)
Dark Fae,"Caroline Peckham (Goodreads Author), Susanne Valenti (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
Una vida de abundancia: La mente exitosa,"Agustín V. Startari (Goodreads Author), Dayana Vega (Editor)",'B07QPB9WTG,079,Invalid Length (not 10 or 13 after cleaning)
Uni Lifehacks: Insights From The UK's Most Successful Students,George MacGill,'B074YK5VJB,0745,Invalid Length (not 10 or 13 after cleaning)
The Fall of Innocence,L.E. Parker (Goodreads Author),'B07754FCDY,07754,Invalid Length (not 10 or 13 after cleaning)
"My Big, Fat, Fake Wedding",Lauren Landish (Goodreads Author),'B07XY6MRLS,076,Invalid Length (not 10 or 13 after cleaning)
Wenn wir brennen,Lena Klassen,'B071YB9P41,071941,Invalid Length (not 10 or 13 after cleaning)
"Game Changers: What Leaders, Innovators, and Mavericks Do to Win at Life",Dave Asprey,'B077XG39QR,07739,Invalid Length (not 10 or 13 after cleaning)
EDICIÓN ESPECIAL DE CIENCIA FICCIÓN. G.G.MELIES.: TRES LIBROS EN UNO.,G.G. Melies (Goodreads Author),'B0787QN8FG,07878,Invalid Length (not 10 or 13 after cleaning)
ALGOCRACIA CUÁNTICA: Las conciencias muertas de Sagitario A* (Novela de Ciencia Ficción en español),G.G. Melies (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Ryan's Bed,Tijan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Speak: The Graphic Novel,"Laurie Halse Anderson (Goodreads Author), Emily Carroll (Illustrations)",,,Invalid Length (not 10 or 13 after cleaning)
A Stone in the Sea,A.L. Jackson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Save Him,William M. Hayes (Goodreads Author),'B07WQMP41B,0741,Invalid Length (not 10 or 13 after cleaning)
Belgravia,Julian Fellowes,'B01HBK63A2,01632,Invalid Length (not 10 or 13 after cleaning)
Tao te king,Lao Tze,'B079Z8KDJC,0798,Invalid Length (not 10 or 13 after cleaning)
Birthday Girl,Penelope Douglas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"There's a Winner in You: Unlocking Faith Over Fear, Trauma and Worries to Fulfill Your Dream",Pastor Pauline Sutton,'B07RC2ZMVD,072,Invalid Length (not 10 or 13 after cleaning)
Iron Wolves,"Jonathan Yanez (Goodreads Author), Jason Anspach (Goodreads Author), Nick Cole (Goodreads Author)",'B07MV1H51G,07151,Invalid Length (not 10 or 13 after cleaning)
"Ain't No Makin' It: Aspirations and Attainment in a Low-Income Neighborhood, Third Edition",Jay MacLeod,'B07BBTCHSM,07,Invalid Length (not 10 or 13 after cleaning)
The Geek,Jonathan Latt (Goodreads Author),'B01540DRAU,01540,Invalid Length (not 10 or 13 after cleaning)
A Flower Reborn,Kirstin Graham (Goodreads Author),'B08818Z7VB,088187,Invalid Length (not 10 or 13 after cleaning)
Tau Zero,Poul Anderson,,,Invalid Length (not 10 or 13 after cleaning)
"Hope in a Ballet Shoe: Orphaned by war, saved by ballet: an extraordinary true story","Michaela DePrince, Elaine DePrince",,,Invalid Length (not 10 or 13 after cleaning)
Enemies Within : An air force thriller,Wing Commander M K Devidasan (Goodreads Author),'B07FSWL21X,0721,Invalid Length (not 10 or 13 after cleaning)
Antología helada,Alejandra Abraham (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Princess Dracula,John Patrick Kennedy (Goodreads Author),'B01MSQGCR3,013,Invalid Length (not 10 or 13 after cleaning)
Free Comic Book Day: Star Wars,"Miles Lane, Nicola Scott (Illustrator), Nicola Scott (Art)",'B017JC1ZYG,0171,Invalid Length (not 10 or 13 after cleaning)
Dungeons of Strata (Deepest Dungeon #1),G.D. Penman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Dr. Stanton,T.L. Swan (Goodreads Author),'B073YFGY3M,0733,Invalid Length (not 10 or 13 after cleaning)
Hideaway,Penelope Douglas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Cry of the Lake,Charlie Tyler (Goodreads Author),'B088PWPMPT,088,Invalid Length (not 10 or 13 after cleaning)
White Bird,R.J. Palacio,'B07JYF58SD,0758,Invalid Length (not 10 or 13 after cleaning)
Scent of Cloves,Norah Lofts,,,Invalid Length (not 10 or 13 after cleaning)
Turning Hearts,Deanne Blackhurst,,,Invalid Length (not 10 or 13 after cleaning)
Red Asphalt,"Scott Cherney (Goodreads Author), Cherney, Scott",'B001E0PW8A,00108,Invalid Length (not 10 or 13 after cleaning)
Off the Record,Matthew Haldeman-Time,,,Invalid Length (not 10 or 13 after cleaning)
A Perfect Husband,Douglas Wickard (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Vanishing Worlds - Annelies' Journal,Nadine May (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Letters to Elise: A Peter Townsend Novella,Amanda Hocking (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Charity Moon,DeAnna Kinney (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"RECollection, Vol. 1",Joseph Gordon-Levitt,'B004QC6HIC,0046,Invalid Length (not 10 or 13 after cleaning)
Clemencia,Ignacio Manuel Altamirano,,,Invalid Length (not 10 or 13 after cleaning)
The Lost Soul,Jessica Sorensen (Goodreads Author),'B008FIBW0Q,0080,Invalid Length (not 10 or 13 after cleaning)
Bloodraven,P.L. Nunn,,,Invalid Length (not 10 or 13 after cleaning)
Nobody's Perfect,Kallypso Masters (Goodreads Author),'B009CCWZPU,009,Invalid Length (not 10 or 13 after cleaning)
Blood and Light,Rue Volley (Goodreads Author) (Pseudonym),'B007QOFT4A,0074,Invalid Length (not 10 or 13 after cleaning)
The Occupation,David R. Beshears (Goodreads Author),'B007QD9IF2,00792,Invalid Length (not 10 or 13 after cleaning)
Bloodline,Eric J. Gates (Goodreads Author),'B00AGZ27FA,0027,Invalid Length (not 10 or 13 after cleaning)
Born of Blood,Diana Collins,'B00G0TP2G2,00022,Invalid Length (not 10 or 13 after cleaning)
The Philippines and International Restaurants Food Recipes Kindle Edition,Fernando Lachica (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Living A Long Life,Byron Goines,'B00C92YV4S,00924,Invalid Length (not 10 or 13 after cleaning)
Thirst,Claire Farrell (Goodreads Author),'B004E9U9AY,00499,Invalid Length (not 10 or 13 after cleaning)
Digital mind jail,Gojim Oavin,,,Invalid Length (not 10 or 13 after cleaning)
Flawless,Lara Chapman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Zombie Novel Writing 101: How to Write a Zombie Novel,Steve French (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Time Control - Taking Control and Achieving Goals,Martin Gover (Goodreads Author),'B006PX2W2K,00622,Invalid Length (not 10 or 13 after cleaning)
In Session,M.J. Rose (Goodreads Author),'B005OLJ3VC,0053,Invalid Length (not 10 or 13 after cleaning)
This Time Around,Ellie Grace (Goodreads Author),'B00DXXYZF2,002,Invalid Length (not 10 or 13 after cleaning)
"Ghost Stations (The True Lives Of The Fabulous Killjoys, #2)","Gerard Way, Shaun Simon, Becky Cloonan (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Love Is Mortal,Caroline Hanson (Goodreads Author),'B00A73LMES,0073,Invalid Length (not 10 or 13 after cleaning)
Crazy Little Thing,Tracy Brogan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Quiet,Rolly A. Chabot,,,Invalid Length (not 10 or 13 after cleaning)
The Phantom King,Heather Killough-Walden (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Where I End and You Begin,Andra Brynn (Goodreads Author),'B00DKMG7H0,0070,Invalid Length (not 10 or 13 after cleaning)
Shades of Life,Glinda Izabel (Goodreads Author),'B00D2QGGWU,002,Invalid Length (not 10 or 13 after cleaning)
"Kiss me, Chloe",Linda George,'B00CB7NHC8,0078,Invalid Length (not 10 or 13 after cleaning)
Goal Achiever,Bob Proctor,'B000R8Z5VO,00085,Invalid Length (not 10 or 13 after cleaning)
Falling Off the Face of the Earth,J.F. Smith (Goodreads Author),'B0054LX3C2,005432,Invalid Length (not 10 or 13 after cleaning)
The Wronged Sons,John Marrs (Goodreads Author),'B00F0P472C,000472,Invalid Length (not 10 or 13 after cleaning)
A Sky of Spells,Morgan Rice (Goodreads Author),'B00FABMT26,0026,Invalid Length (not 10 or 13 after cleaning)
The Shadow of Tiamat,Sean T. Poindexter (Goodreads Author),'B006IWCGTC,006,Invalid Length (not 10 or 13 after cleaning)
Undeclared,Jen Frederick (Goodreads Author),'B00CKEG8S2,0082,Invalid Length (not 10 or 13 after cleaning)
The Octopus: A Story of California,"Frank Norris, Kevin Starr (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Status of Women in Islam,"Yusuf Al-Hajj Ahmad, Darussalam (Editor)",'B00HHWUGD0,000,Invalid Length (not 10 or 13 after cleaning)
All I Can Do Is Stand Part Two,Aleja Bennett (Goodreads Author),'B00G9FD1OC,0091,Invalid Length (not 10 or 13 after cleaning)
Accidental Crush,Adrienne Torrisi (Goodreads Author),'B00FO14UJM,0014,Invalid Length (not 10 or 13 after cleaning)
Balefire,Cate Tiernan,,,Invalid Length (not 10 or 13 after cleaning)
A Sliver of Redemption,David Dalglish (Goodreads Author),'B004K1EZWO,0041,Invalid Length (not 10 or 13 after cleaning)
The Missing Link,J.M. Sevilla,'B00G79AAHG,0079,Invalid Length (not 10 or 13 after cleaning)
Sanctuary,John O'Brien (Goodreads Author),'B006PY6ZAY,0066,Invalid Length (not 10 or 13 after cleaning)
Breeze of Life,Kirsty Dallas (Goodreads Author),'B00ELXI2IE,002,Invalid Length (not 10 or 13 after cleaning)
Rome,"Jay Crownover (Goodreads Author), Charlotte Connan de vries (Translator)",'B00CGZXRT8,008,Invalid Length (not 10 or 13 after cleaning)
Freak Show,Patti Larsen (Goodreads Author),'B00KYW2YIU,002,Invalid Length (not 10 or 13 after cleaning)
Not That Kind of Love,K.S. Martin,,,Invalid Length (not 10 or 13 after cleaning)
One Pink Line,Dina Silver (Goodreads Author),'B0062OMP38,006238,Invalid Length (not 10 or 13 after cleaning)
Ant laiko ašmenų,Gintaras Beresnevičius,,,Invalid Length (not 10 or 13 after cleaning)
Innocent Temptation (Divine Temptations #2),Lolo Mayaya (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Prophecy,Desiree DeOrto (Goodreads Author),'B00DFB3EQ8,0038,Invalid Length (not 10 or 13 after cleaning)
Twist and Shout,"Gabriel (AO3), Standbyme",,,Invalid Length (not 10 or 13 after cleaning)
Burning Desire,Heather Leigh (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Goatman,Jeff Fuell (Goodreads Author),'B00596V3OM,005963,Invalid Length (not 10 or 13 after cleaning)
Jellybean the Dragon,Elias Zapple (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Grotto of the Dancing Deer: And Other Stories,"Clifford D. Simak, David W. Wixon (Introduction), Richard S. Simak (Contributor)",'B014QI1NKM,0141,Invalid Length (not 10 or 13 after cleaning)
Skin Deep,Dez Burke (Goodreads Author),'B00FLYFWGW,00,Invalid Length (not 10 or 13 after cleaning)
Provoked,Rebecca Zanetti (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Behind Closed Doors,Sherri Hayes (Goodreads Author),'B00777BLHK,00777,Invalid Length (not 10 or 13 after cleaning)
Julie,E.M. Leya (Goodreads Author),'B00ISD6T92,00692,Invalid Length (not 10 or 13 after cleaning)
Die Abrechnung des Kinderfängers,"Simon Wood (Goodreads Author), Kerstin Brömer (Translator)",'B00IPSEPHI,00,Invalid Length (not 10 or 13 after cleaning)
The Unsuspecting Mage,Brian S. Pratt,'B001A40H0I,001400,Invalid Length (not 10 or 13 after cleaning)
Break Me,Laura Bailey (Goodreads Author),'B00FPRP6XY,006,Invalid Length (not 10 or 13 after cleaning)
Through a Mother's Eyes,Cary Allen Stone (Goodreads Author),'ASINB003CY,003,Invalid Length (not 10 or 13 after cleaning)
Wildcard: Volume One,Missy Johnson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Blood and Honor,Jayna Vixen (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
From the Embers,Candace Knoebel (Goodreads Author),'B00I3T3XM2,00332,Invalid Length (not 10 or 13 after cleaning)
"Hamlet, Prince of Denmark","A.J. Hartley (Goodreads Author), David Hewson (Goodreads Author), Richard Armitage (Narrator)",'B00IRH401S,00401,Invalid Length (not 10 or 13 after cleaning)
Flight of Fancy (Cora's Daughters - The Fancy Series),"Mercedes Keyes (Goodreads Author), Lawrence James (Editor)",'B009PV3B42,009342,Invalid Length (not 10 or 13 after cleaning)
My Weekly Walk (The Walk Book 2),Alan E. Freedman,'B00Q0JXIUY,000,Invalid Length (not 10 or 13 after cleaning)
Mysteries of the Red Coyote Inn,Lorraine Carey (Goodreads Author),'B00EJRBDWY,00,Invalid Length (not 10 or 13 after cleaning)
Your Husband My Man,K.C. Blaze (Goodreads Author),'B00M9UWA2U,0092,Invalid Length (not 10 or 13 after cleaning)
Karma Destiny or Choice,Himaksh Kashyap (Goodreads Author),'B00JZNU8F0,0080,Invalid Length (not 10 or 13 after cleaning)
Worth the Effort,Mara Jacobs (Goodreads Author),'B00EAOUCQ4,004,Invalid Length (not 10 or 13 after cleaning)
Little Dove,Jaden Wilkes (Goodreads Author),'B00NUTJ2V6,0026,Invalid Length (not 10 or 13 after cleaning)
The Life of π,"Jason Shaverin, Archimedes",'B00C9FU95A,00995,Invalid Length (not 10 or 13 after cleaning)
