title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
The Plague,"Albert Camus, Stuart Gilbert (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Snow Flower and the Secret Fan,Lisa See (Goodreads Author),'B000FCK71U,00071,Invalid Length (not 10 or 13 after cleaning)
The Remains of the Day,Kazuo Ishiguro,,,Invalid Length (not 10 or 13 after cleaning)
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,,,Invalid Length (not 10 or 13 after cleaning)
Jonathan Strange & Mr Norrell,Susanna Clarke,,,Invalid Length (not 10 or 13 after cleaning)
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,,,Invalid Length (not 10 or 13 after cleaning)
Neuromancer,William Gibson,'B000O76ON6,000766,Invalid Length (not 10 or 13 after cleaning)
Waiting for Godot,Samuel Beckett,,,Invalid Length (not 10 or 13 after cleaning)
War and Peace,"Leo Tolstoy, Henry Gifford (Editor), Aylmer Maude (Translator), Louise Maude (Translator), Vladimir Levstik (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
A Dance with Dragons,George R.R. Martin,,,Invalid Length (not 10 or 13 after cleaning)
The Complete Poems of Emily Dickinson,"Emily Dickinson, Thomas H. Johnson (Editor)",,,Invalid Length (not 10 or 13 after cleaning)
Mistress Suffragette,Diana Forbes (Goodreads Author),'B06XG3G2TF,0632,Invalid Length (not 10 or 13 after cleaning)
Pet Sematary,Stephen King (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Snow Crash,Neal Stephenson (Goodreads Author),'B000FBJCJE,000,Invalid Length (not 10 or 13 after cleaning)
Ishmael,Daniel Quinn,'B000SEFH6A,0006,Invalid Length (not 10 or 13 after cleaning)
The Unbecoming of Mara Dyer,Michelle Hodkin (Goodreads Author),'B004IK988I,004988,Invalid Length (not 10 or 13 after cleaning)
The Zombie Room,R.D. Ronald,'B01E4L4VEG,0144,Invalid Length (not 10 or 13 after cleaning)
Angelfall,Susan Ee (Goodreads Author),'B008ELHBAO,008,Invalid Length (not 10 or 13 after cleaning)
The Bronze Horseman,Paullina Simons,'B000FC10Y8,000108,Invalid Length (not 10 or 13 after cleaning)
Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Last Lecture,Randy Pausch,'B00139VU7E,001397,Invalid Length (not 10 or 13 after cleaning)
Ignite Me,Tahereh Mafi,'B00DB2YN0C,0020,Invalid Length (not 10 or 13 after cleaning)
World Without End,Ken Follett (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Slammed,Colleen Hoover (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
We Were Liars,E. Lockhart (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Silver Chair,"C.S. Lewis, Pauline Baynes (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Secret,Rhonda Byrne,,,Invalid Length (not 10 or 13 after cleaning)
